Name,longitude,latitude,City,Country,Year,Century,Population over 10000?,Major regional sources of original Chinatown residents
Manhattan Chinatown,-73.996895,40.716474,New York City,United States of America,1870s,19th Century,Yes,Guangdong
Flushing Chinatown,-73.829419,40.758017,New York City,United States of America,1970s ,20th Century,Yes,Fujian; Zhejiang
Sunset Park Chinatown,-74.005717,40.639353,New York City,United States of America,1980s  ,20th Century,Yes,Fujian
Boston Chinatown,-71.061645,42.349707,Boston,United States of America,1874,19th Century,No,Guangdong
Chicago Chinatown,-87.634064,41.85049,Chicago,United States of America,1870s ,19th Century,No,Guangdong
Honolulu Chinatown Historic District,-157.862925,21.312281,Honolulu,United States of America,1850s,19th Century,No,Guangdong
Houston Chinatown,-95.545204,29.70505,Houston,United States of America,1983,20th Century,Yes,Insufficient information
Los Angeles Chinatown,-118.23651,34.061636,Los Angeles,United States of America,1938,20th Century,Yes,Guangdong
Philadelphia Chinatown,-75.157492,39.955572,Philadelphia,United States of America,1870s ,19th Century,No,Guangdong
Old Town Chinatown,-122.674512,45.526003,Portland,United States of America,1905,20th Century,No,Guangdong
San Francisco Chinatown,-122.406337,37.794263,San Francisco,United States of America,1848,19th Century,Yes,Guangdong
Oakland Chinatown,-122.269457,37.79943,Oakland,United States of America,1850s,19th Century,No,Guangdong
Seattle Chinatown-International District,-122.324525,47.597536,Seattle,United States of America,1900s,20th Century,No,Guangdong
Washington D.C. Chinatown,-77.020966,38.900456,Washington D.C.,United States of America,1930s ,20th Century,No,Guangdong
Calgary Chinatown,-114.065,51.050833,Calgary,Canada,1880s,19th Century,No,Guangdong
Edmonton Chinatown,-113.487,53.555,Edmonton,Canada,1900s,20th Century,No Available Data,Guangdong
Quartier Chinois,-73.5608,45.50759,Montreal,Canada,1890s,19th Century,No,Guangdong
Ottawa Chinatown,-75.70721,45.41084,Ottawa,Canada,1931,20th Century,Yes,Guangdong
Downtown Chinatown,-79.398,43.6529,Toronto,Canada,1960s,20th Century,Yes,Guangdong
Vancouver Chinatown,-123.099444,49.28,Vancouver,Canada,1885,19th Century,No,Guangdong
Victoria Chinatown,-123.367224,48.429391,Victoria,Canada,1858,19th Century,No Available Data,Guangdong
Windsor Chinatown,-83,42.301,Windsor,Canada,1961,20th Century,No Available Data,Guangdong
Winnipeg Chinatown,-97.138403,49.901618,Winnipeg,Canada,1910s,20th Century,No,Guangdong
Buenos Aires Barrio Chino,-58.45,-34.557778,Buenos Aires,Argentina,1980s  ,20th Century,No,Fujian
La Chinesca,-115.493668,32.662803,Mexicali,Mexico,1918,20th Century,Yes,Guangdong
